N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0112891,0.00499759,-1.0,21001.0,0.0
3,0.00734964,0.00441619,-1.0,21635.666666666668,0.0
4,0.00532525,0.004357,-1.0,21990.25,0.0
5,0.00513206,0.00401812,-0.6,22124.4,0.0
6,0.0047856,0.00400596,-0.06666666666666665,21599.0,0.0
7,0.00443994,0.00263833,0.04761904761904762,21676.285714285714,0.0
8,0.00415206,0.00263101,0.14285714285714285,21660.125,0.0
9,0.00368048,0.00257605,-0.1111111111111111,21817.222222222223,0.0
10,0.00336233,0.00254259,0.1111111111111111,21330.8,0.0
11,0.00323256,0.00239236,0.1272727272727273,21360.454545454544,0.0
12,0.0029058,0.00220802,0.0909090909090909,21429.083333333332,0.0
13,0.00282781,0.00218085,-0.025641025641025637,21547.076923076922,0.0
14,0.00238972,0.0021371,0.1208791208791209,21152.35714285714,0.0
15,0.00236063,0.00212533,0.12380952380952381,21196.2,0.0
16,0.0022751,0.00193091,0.0,21313.8125,0.0
17,0.00224642,0.00188885,-0.044117647058823525,21399.41176470588,0.0
18,0.00223309,0.00182836,-0.05882352941176472,21457.0,0.0
19,0.00217541,0.00180283,-0.12280701754385964,21537.263157894737,0.0
20,0.00213694,0.00178878,-0.052631578947368425,21473.95,0.0
21,0.00209021,0.00176735,-0.10476190476190478,21545.428571428572,0.0
22,0.00208677,0.00172146,-0.07359307359307359,21564.18181818182,0.045454545454545456
23,0.002057,0.00170648,-0.13043478260869565,21628.869565217392,0.043478260869565216
24,0.0020477,0.001696,-0.20289855072463767,21690.5,0.08333333333333333
25,0.0018377,0.00168899,-0.20666666666666664,21738.2,0.12
26,0.00182049,0.00167738,-0.16923076923076924,21749.46153846154,0.11538461538461539
27,0.00179768,0.00163008,-0.15099715099715103,21766.185185185186,0.1111111111111111
28,0.00174329,0.00162321,-0.08994708994708994,21701.535714285714,0.10714285714285714
29,0.00163571,0.00161698,-0.014778325123152707,21328.068965517243,0.10344827586206896
30,0.00163047,0.00158959,0.020689655172413793,21325.833333333332,0.1
31,0.00162765,0.00155673,-0.023655913978494626,21379.8064516129,0.0967741935483871
32,0.00160824,0.00152078,0.036290322580645164,21097.03125,0.09375
33,0.00159818,0.00150776,0.06439393939393939,21097.545454545456,0.09090909090909091
34,0.00155233,0.00150528,0.04812834224598931,21140.352941176472,0.08823529411764706
35,0.00150851,0.0014783,0.08571428571428572,21096.628571428573,0.08571428571428572
36,0.00149053,0.0014772,0.06349206349206349,21141.972222222223,0.08333333333333333
37,0.00148131,0.00145209,0.03303303303303304,21191.027027027027,0.10810810810810811
38,0.00148079,0.00139926,0.012802275960170698,21235.5,0.10526315789473684
39,0.00144595,0.00137708,-0.033738191632928474,21283.358974358973,0.1282051282051282
40,0.00141496,0.00134371,-0.007692307692307693,21279.425,0.125
41,0.00136081,0.00131087,-0.05365853658536585,21324.268292682926,0.14634146341463414
42,0.00134403,0.00130549,-0.059233449477351915,21357.45238095238,0.14285714285714285
43,0.00131484,0.00126478,-0.040974529346622365,21368.279069767443,0.13953488372093023
44,0.00130241,0.00122979,0.006342494714587738,21021.090909090908,0.13636363636363635
45,0.00127241,0.00122064,0.050505050505050504,20597.48888888889,0.13333333333333333
46,0.00125628,0.00120598,0.03381642512077295,20646.347826086956,0.13043478260869565
47,0.00124583,0.0011877,0.03977798334875116,20675.617021276597,0.1276595744680851
48,0.0012157,0.0011818,0.04787234042553192,20700.083333333332,0.125
